cal,C14,error
4827,4208,14
4826,4204,14
4825,4200,14
4824,4196,15
4823,4192,15
4822,4188,15
4821,4185,15
4820,4182,15
4819,4179,15
4818,4177,15
4817,4174,15
4816,4172,15
4815,4170,15
4814,4168,14
4813,4166,14
4812,4165,14
4811,4163,14
4810,4162,15
4809,4160,15
4808,4159,15
4807,4157,15
4806,4156,15
4805,4154,16
4804,4153,16
4803,4151,16
4802,4149,16
4801,4148,15
4800,4146,15
4799,4144,15
4798,4142,15
4797,4140,14
4796,4138,14
4795,4136,14
4794,4135,14
4793,4133,14
4792,4131,14
4791,4129,14
4790,4127,14
4789,4126,14
4788,4124,14
4787,4122,14
4786,4121,15
4785,4119,15
4784,4118,15
4783,4117,15
4782,4115,14
4781,4114,14
4780,4113,14
4779,4113,14
4778,4112,14
4777,4111,14
4776,4111,14
4775,4111,14
4774,4111,14
4773,4111,14
4772,4112,14
4771,4113,14
4770,4114,15
4769,4115,15
4768,4116,15
4767,4118,15
4766,4120,15
4765,4123,15
4764,4126,15
4763,4128,15
4762,4132,15
4761,4135,15
4760,4139,15
4759,4142,14
4758,4146,14
4757,4150,14
4756,4154,14
4755,4158,14
4754,4161,14
4753,4165,14
4752,4169,14
4751,4173,14
4750,4176,14
4749,4180,14
4748,4183,15
4747,4186,15
4746,4188,15
4745,4190,15
4744,4192,15
4743,4194,15
4742,4195,15
4741,4196,15
4740,4196,15
4739,4196,15
4738,4196,14
4737,4195,14
4736,4194,14
4735,4192,14
4734,4191,14
4733,4189,14
4732,4187,14
4731,4185,15
4730,4183,15
4729,4181,15
4728,4180,16
4727,4178,16
4726,4176,16
4725,4175,16
4724,4174,16
4723,4173,16
4722,4172,16
4721,4171,16
4720,4171,16
4719,4170,16
4718,4170,15
4717,4170,15
4716,4169,15
4715,4169,15
4714,4169,15
4713,4168,15
4712,4168,15
4711,4168,15
4710,4167,15
4709,4167,15
4708,4166,15
4707,4166,15
4706,4165,15
4705,4164,15
4704,4162,15
4703,4161,15
4702,4159,15
4701,4158,15
4700,4155,15
4699,4153,15
4698,4151,15
4697,4149,15
4696,4146,15
4695,4144,15
4694,4141,15
4693,4139,15
4692,4137,15
4691,4135,16
4690,4134,16
4689,4132,16
4688,4131,16
4687,4130,16
4686,4130,16
4685,4130,16
4684,4131,15
4683,4131,15
4682,4132,15
4681,4134,14
4680,4135,14
4679,4137,15
4678,4139,15
4677,4141,15
4676,4144,16
4675,4146,16
4674,4149,16
4673,4151,17
4672,4154,17
4671,4156,17
4670,4159,17
4669,4161,16
4668,4164,16
4667,4166,16
